word,count
coffee,19729
tea,11606
better,9208
little,8897
water,7709
price,7104
time,6949
love,6896
dog,6627
try,6589
think,6542
cup,6438
first,6272
bad,6048
sweet,6000
however,5997
box,5874
bit,5867
eat,5782
chocolate,5754
sugar,5685
tried,5413
drink,5372
bag,5076
something,4979
tastes,4947
find,4884
way,4845
two,4686
though,4640
could,4608
strong,4521
know,4370
give,4215
found,4134
thought,4125
enough,4092
want,4076
nice,4046
pretty,3992
less,3961
say,3932
ingredients,3921
since,3900
sure,3832
small,3780
best,3726
different,3723
flavors,3662
lot,3636
