word,count
coffee,147426
love,138819
tea,130934
best,101363
price,70353
little,69421
time,68191
dog,63341
find,63153
tried,60077
better,57840
delicious,57337
try,53630
eat,53117
cup,52485
chocolate,52378
free,48078
sugar,46420
water,46357
favorite,45280
sweet,45279
found,45134
first,45032
bag,44238
drink,42060
day,41647
loves,41452
nice,40660
way,38477
store,37656
tastes,37529
healthy,36914
snack,36907
perfect,36766
two,36497
since,36219
recommend,36217
stuff,36070
dogs,35398
think,35284
hot,35094
mix,35027
ever,34915
bit,34600
excellent,34433
many,34021
box,33933
cat,33805
order,33763
treats,33727
