word,count
coffee,191977
tea,160364
love,155159
best,110362
little,87888
time,87136
price,87099
dog,83550
better,78176
tried,77687
find,75723
try,70640
eat,70317
cup,67994
chocolate,67514
water,64404
first,63529
sugar,61436
delicious,60334
bag,59505
sweet,58351
free,57575
found,55645
drink,54093
way,52921
box,52020
tastes,51918
two,50284
think,50022
favorite,49977
day,49967
nice,47545
store,46939
since,46794
could,46302
order,45777
stuff,45547
dogs,45296
loves,44788
bit,44462
know,44428
cat,44314
give,43568
hot,43128
recommend,43123
many,43065
mix,42824
healthy,42713
ever,42269
treats,41447
quality,41133
snack,40970
flavors,40956
never,40572
want,40544
chips,40328
every,39561
something,39499
brand,39432
organic,38990
perfect,38752
without,38177
always,37791
makes,37749
years,37306
bad,37299
right,37296
tasty,37157
treat,36778
say,36659
ingredients,36598
lot,36575
less,36570
milk,36433
excellent,36371
add,36000
different,35772
old,35748
enough,35542
small,35499
strong,35465
easy,34894
pack,34494
green,33961
however,33842
salt,33773
ordered,33229
products,33142
fresh,32914
high,32874
eating,32843
keep,32806
cookies,32755
hard,32625
sure,32461
oil,32261
need,32216
though,32089
long,31882
cats,31778
